事業者コード(16進),会社名,備考
102,旭川電気軌道,
103,道北バス,
365,名古屋市交通局,
367,富山地方鉄道,
36A,名古屋鉄道,
36B,豊橋鉄道,
36F,静岡鉄道,
371,遠州鉄道/遠鉄バス,
383,名古屋臨海高速鉄道,
3E9,北海道北見バス,
4A5,京福電気鉄道,
5D1,広島電鉄,
5D3,土佐電ドリームサービス,
5E1,岡山電気軌道,
901,札幌市電,
902,札幌市交通局,
905,ジェイ・アール北海道バス,
906,じょうてつバス,
907,北海道中央バス,
908,仙台市営バス,
909,宮城交通,
90B,函館市企業局交通部,
90C,函館バス,
90D,岩手県交通,
90E,秋田中央交通,
90F,岩手県北自動車,
910,JRバス東北,
911,秋北バス,
912,十和田観光電鉄,
913,八戸市交通部,
914,青森市企業局交通部,
916,山交バス,
917,庄内交通,
919,弘南バス,
91A,新常磐交通,
A01,西鉄バス,
A02,西鉄バス北九州,
A03,西鉄高速バス,
A04,西鉄バス佐賀,
A05,西鉄バス久留米,
A06,西鉄バス筑豊,
A08,西鉄バス大牟田,
A09,西鉄バス宗像,
A0A,西鉄バス二日市,
A0B,日田バス,
A0C,九州急行バス,
A0D,昭和自動車,
A0E,JR九州バス,
A0F,亀の井バス,
A10,大分バス,
A11,大分交通,
A12,熊本市交通局,
A13,筑豊電気鉄道,
A14,宮崎交通,
A15,九州産交バス,
A16,産交バス,
A17,熊本都市バス,
A18,熊本バス,
A19,熊本電鉄バス,
A1A,熊本電気鉄道,
A1B,佐賀市交通局,
A1C,祐徳バス,
A1D,長崎県交通局,
A1E,長崎電気軌道,
A1F,松浦鉄道,
A20,西肥自動車,
A22,させぼバス,
A23,長崎バス/さいかい交通,
A24,さいかい交通,
A25,北九州市交通局,
A26,堀川バス,
B01,那覇バス,
B02,琉球バス交通,
B03,沖縄バス,
B04,東陽バス,
C01,関東鉄道バス,
C0C,関東自動車,
C0D,宇都宮ライトレール,
C0F,群馬バス,
C10,群馬中央バス,
C11,日本中央バス・日本中央交通,
C12,永井運輸,
C13,矢島タクシー,
C14,上信電鉄,
C15,関越交通,
C18,ジャパンタローズ,
C1A,上毛電気鉄道,
C20,イーグルバス,
C2A,京成バス,
C2B,小湊鐵道バス,
C2C,千葉交通,
C2D,船橋新京成バス,
C2E,船橋新京成バス習志野営業所,
C2F,松戸新京成バス,
C30,日東交通,
C32,千葉中央バス,
C33,東洋バス,
C35,kmモビリティサービス,
C37,東京ベイシティ交通,
C38,成田空港交通,
C39,千葉海浜交通,
C3A,千葉内陸バス,
C3B,ちばレインボーバス,
C3C,ちばフラワーバス,
C3D,ちばグリーンバス,
C3E,ちばシティバス,
C42,平和交通,
C43,あすか交通,
C44,京成トランジットバス,
C4A,都営バス・都電,
C4B,東急バス,
C4C,京王バス,
C4D,関東バス,
C4E,西武バス,
C4F,国際興業バス,
C50,小田急バス,
C51,東武グループバス,
C52,立川バス,
C53,西東京バス,
C57,フジエクスプレス,
C58,東京空港交通,
C5A,小田急箱根高速バス,
C5B,ジェイアールバス関東,
C5C,日立自動車交通,
C63,小田急ハイウェイバス,
C65,京成タウンバス,
C69,京浜急行バス,
C6A,横浜市営バス,
C6B,神奈川中央交通,
C6C,川崎鶴見臨港バス,
C6D,箱根登山バス,
C6E,伊豆箱根バス,
C6F,江ノ電バス横浜,
C70,川崎市バス,
C71,相鉄バス(横浜・旭営業所),
C72,富士急湘南バス,
C74,江ノ電バス藤沢,
C7C,相鉄バス(綾瀬営業所),
C7D,大新東,
C7E,山梨交通,
C80,富士急行,
C81,富士急山梨バス,
C82,富士急平和観光,
C83,富士急シティバス,
C84,富士急静岡バス,
C85,東急世田谷線,
C89,京成バスシステム,
C8A,JR東日本,
C8E,東京BRT,
C8F,東海バス,
C91,新日本観光自動車,
D01,京福バス,
D02,福鉄バス,
D18,しずてつジャストライン,
D29,名鉄バス,
D2A,名古屋市営バス,
D2B,豊橋鉄道/豊鉄バス,
D2E,ゆとりーとライン,
D3D,三重交通グループ,
D47,新潟交通グループ,
D51,アルピコ交通,
D52,長電バス,
D53,長野圏B,
D66,北陸鉄道,
D69,富山ライトレール,
D6F,富山地方鉄道,
D74,長野市公共交通活性化・再生協議会,
D83,岐阜バス,
D87,敦賀海陸運輸,
D8A,敦賀観光バス,
D8B,万葉線,
E01,近江鉄道バス,
E03,帝産湖南交通,
E05,湖国バス,
E09,京都市バス/京都バス,
E14,南海グループバス,
E15,近鉄バス,
E16,京阪グループバス,
E1E,西日本ジェイアールバス,
E1F,大阪市営バス,
E20,高槻市営バス,
E21,関西空港交通,
E22,阪急バス,
E23,水間鉄道バス,
E29,大阪空港交通,
E2C,神戸フェリーバス,
E31,阪神バス,
E33,神姫バスグループ,
E38,神戸市バス,
E3B,伊丹市営バス,
E3D,山陽バス,
E42,和歌山バス/和歌山バス那賀,
E51,奈良交通/エヌシーバス,
E53,大阪バス,
E59,中京交通,
E5E,大阪・関西万博,
E96,近江鉄道バス,
F04,石見交通,
F05,松江市交通局,
F09,一畑バス,
F0A,中鉄バス,
F0B,宇野自動車,
F0C,両備バス,
F0D,備北バス,
F0E,井笠鉄道,
F0F,岡電バス/中鉄バス,
F10,下電バス,
F13,井笠バスカンパニー,
F14,広電バス,
F15,広島バス,
F16,広交バス,
F17,広交観光,
F18,芸陽バス,
F19,中国バス,
F1A,トモテツバス,
F1B,備北交通,
F1C,因の島運輸,
F1D,本四バス開発,
F1E,さんようバス,
F1F,中国ジェイアールバス,
F20,呉市交通局,
F21,江田島バス,
F22,おのみちバス,
F24,HD西広島,
F25,瀬戸内産交,
F27,第一タクシー,
F28,いわくにバス,
F29,防長交通,
F2A,宇部市交通局,
F2C,サンデン交通,
F2E,徳島バス,
F30,中国ジェイアールバス,
F3D,伊予鉄道,
F3E,伊予鉄バス,
F47,ことでんバス/小豆島オリーブバス/大川バス/マルイ観光バス,
FC8,宮島松大汽船,
FC9,瀬戸内海汽船,
FCA,広島観光開発,
FCB,JR西日本宮島フェリー,
FCC,JR西日本宮島フェリー,
FCD,宮島松大汽船,
FCE,広島電鉄,
FD2,なべタクシー,
FD3,富士交通,
FDC,まちづくり福井,
FDF,広島バス,
FE0,広交バス,
FE1,いわくにバス,
FE3,トモテツバス,
FE4,中国バス,
FE5,井笠バスカンパニー,
FEB,日ノ丸自動車,
FEC,日本交通,
FF0,土佐電気鉄道,
1581,関東自動車(宇都宮),
1582,宇都宮ライトレール,
1583,ジェイアールバス関東,
158F,アルピコ交通,
1591,群馬バス,
1592,群馬中央バス,
1593,日本中央バス・日本中央交通,
1594,永井運輸,
1596,上信観光バス・上信ハイヤー,
159A,JR東日本,
1778,南海バス,
2222,阪急バス,
2231,阪神バス,
2329,北九州市交通局,
232A,長崎バス/さいかい交通,
232B,長崎県交通局,
232D,佐世保市交通局,
232E,島原鉄道バス,
232F,鹿児島市交通局,
2330,南国交通,
2331,JR九州バス,
2332,いわさきグループ,
2333,林田バス,
